title,NER,link
"""Fast Real Good Fudge""","""confectioners sugar,cocoa,nuts,margarine,Velveeta,vanilla""","""www.cookbooks.com/Recipe-Details.aspx?id=505741"""
"""Squash Casserole""","""squash,onions,sour cream,carrots,chicken,stuffing mix,butter,salt""","""www.cookbooks.com/Recipe-Details.aspx?id=548780"""
"""Cheese Ball""","""cream cheese,Cheddar cheese,pimento,green pepper,onion,lemon juice,Worcestershire sauce,Tabasco sauce,salt""","""www.cookbooks.com/Recipe-Details.aspx?id=443102"""
"""*Apricot Salad""","""apricot jello,sugar,cream cheese,jars Junior baby food,pineapple,milk,water""","""www.cookbooks.com/Recipe-Details.aspx?id=367924"""
"""Pound Cake""","""flour,sugar,baking powder,salt,eggs,margarine,butter,sweet milk,vanilla""","""www.cookbooks.com/Recipe-Details.aspx?id=62866"""
"""Monkey Bread""","""bread,margarine,brown sugar,vanilla pudding,milk,cinnamon""","""www.cookbooks.com/Recipe-Details.aspx?id=211506"""
"""Chicken Roll-Ups""","""crescent rolls,cheese,hen,cream of chicken soup,milk""","""www.cookbooks.com/Recipe-Details.aspx?id=449613"""
"""Beef And Spanish Rice Casserole""","""Spanish rice,corned beef,onion,Cheddar cheese""","""www.cookbooks.com/Recipe-Details.aspx?id=244485"""
"""Baked Beans""","""pork,bell pepper,onions,catsup,brown sugar,salt,black pepper,ground beef,oil""","""www.cookbooks.com/Recipe-Details.aspx?id=775763"""
"""Sweet-N-Sour Chicken""","""chicken,shortening,onion,carrot chunks,water,chicken,brown sugar,cornstarch,ginger,catsup,vinegar,soy sauce,green pepper,pineapple""","""www.cookbooks.com/Recipe-Details.aspx?id=228506"""
"""Ambrosia""","""oranges,moist coconut,pecans,cherries,sugar,orange juice""","""www.cookbooks.com/Recipe-Details.aspx?id=342478"""
"""Crazy Peanut Butter Cookies""","""peanut butter,sugar,egg""","""www.cookbooks.com/Recipe-Details.aspx?id=892363"""
"""Brickle Bars""","""yellow cake mix,eggs,margarine,milk,pecans""","""www.cookbooks.com/Recipe-Details.aspx?id=351194"""
"""Pancakes""","""flour,soda,salt,sugar,egg,margarine,buttermilk""","""www.cookbooks.com/Recipe-Details.aspx?id=57556"""
"""Crustless Vegetable Ham Pie""","""butter,mushrooms,garlic,zucchini,onion,eggs,Ricotta cheese,shredded Monterey Jack,frozen spinach,dill weed,salt""","""www.cookbooks.com/Recipe-Details.aspx?id=710939"""
"""Red Cabbage And Apples""","""red cabbage,butter,apples,brown sugar,vinegar""","""www.cookbooks.com/Recipe-Details.aspx?id=1038746"""
"""German Potato Salad""","""potatoes,bacon,sugar,flour,salt,pepper,cider vinegar,water,green onions""","""www.cookbooks.com/Recipe-Details.aspx?id=609338"""
"""Jan'S Winter Soup""","""butter,onions,ground beef,clove garlic,beef,tomatoes,potatoes,carrots,celery,frozen green beans,red wine,basil,thyme,salt""","""www.cookbooks.com/Recipe-Details.aspx?id=51724"""
"""Microwave Spice Tea""","""sugar,sugar,ground cloves,cinnamon,instant tea""","""www.cookbooks.com/Recipe-Details.aspx?id=543821"""
"""Barbecue Noodle Cheese Bake""","""Manwich,hamburg,American cheese,noodles""","""www.cookbooks.com/Recipe-Details.aspx?id=853931"""
"""Cutout Cookie""","""shortening,butter,sugar,eggs,vanilla,flour,baking powder,salt""","""www.cookbooks.com/Recipe-Details.aspx?id=29109"""
"""Don Juan'S Sangria""","""lime,orange,apple,sugar,red Spanish,brandy,Triple Sec,club soda""","""www.cookbooks.com/Recipe-Details.aspx?id=379411"""
"""Ranch Beef And Beans""","""hamburger,onion,kidney beans,butter beans,beans,ketchup,green chilies,mustard,beef bouillon,water,honey,bell pepper,Worcestershire sauce,garlic""","""www.cookbooks.com/Recipe-Details.aspx?id=99285"""
"""Crisp Oatmeal Cookies""","""cooking oats,brown sugar,salad oil,eggs,salt,almond extract""","""www.cookbooks.com/Recipe-Details.aspx?id=581334"""
"""Souper Tuna Crunch""","""Chinese noodles,Campbell's cream,water,Chicken,cashews,celery,onion,peas,soy sauce""","""www.cookbooks.com/Recipe-Details.aspx?id=668606"""
"""Cheese-Ham Ball""","""Cheddar cheese,cream cheese,ham,pimiento,parsley,Worcestershire sauce,onion""","""www.cookbooks.com/Recipe-Details.aspx?id=561726"""
"""Cheese Ball""","""cream cheese,black olives,Armour dried beef,green onions,mushrooms""","""www.cookbooks.com/Recipe-Details.aspx?id=874934"""
"""Pasta Chicken Salad(268 Calories Per Serving)""","""shells,chicken,broccoli flowerets,cauliflower,carrots,green onions,fresh mushrooms,Italian salad dressing,milk,salt""","""www.cookbooks.com/Recipe-Details.aspx?id=312742"""
"""Zucchini-Artichoke Continental""","""frozen artichoke,water,zucchini,fresh mushrooms,green onion,garlic,margarine,tomatoes,Parmesan cheese""","""www.cookbooks.com/Recipe-Details.aspx?id=669859"""
"""Supreme Beef Casserole""","""ground chuck,shortening,tomatoes,tomato sauce,salt,sugar,garlic,egg noodles,sour cream,cream cheese,green onions,grated cheese""","""www.cookbooks.com/Recipe-Details.aspx?id=1077199"""
"""Chicken Salad""","""chunk white chicken,celery,almonds,water chestnuts,white grapes,salt,pepper,lemon juice,curry powder,nonfat mayonnaise""","""www.cookbooks.com/Recipe-Details.aspx?id=380919"""
"""Chess Pie""","""margarine,sugar,meal,vinegar,eggs,salt,vanilla""","""www.cookbooks.com/Recipe-Details.aspx?id=227881"""
"""Cold Spaghetti Salad""","""vermicelli,bell pepper,zucchini,purple onion,Salad Supreme seasoning""","""www.cookbooks.com/Recipe-Details.aspx?id=622175"""
"""Cucumber Salad With Dill""","""cucumbers,white vinegar,salt,sugar,onion,dill""","""www.cookbooks.com/Recipe-Details.aspx?id=312740"""
"""Chicken Spaghetti""","""chicken,cream of mushroom soup,cream of chicken soup,tomatoes,your choice,spaghetti,steak seasoning""","""www.cookbooks.com/Recipe-Details.aspx?id=55105"""
"""Cheese Ball""","""cream cheese,sharp cheese,mayonnaise,Worcestershire sauce,garlic salt,celery salt,onion salt,pimento,olives,parsley flakes,beef""","""www.cookbooks.com/Recipe-Details.aspx?id=515966"""
"""Pistachio Salad""","""pistachio pie filling,pineapple,marshmallows""","""www.cookbooks.com/Recipe-Details.aspx?id=519530"""
"""Good Sweet Muffins""","""egg,milk,vegetable oil,flour,sugar,baking powder,salt,blueberries""","""www.cookbooks.com/Recipe-Details.aspx?id=167266"""
"""Vanilla Creme Dessert""","""flour,margarine,pecans,cream cheese,powdered sugar,instant vanilla pudding,milk""","""www.cookbooks.com/Recipe-Details.aspx?id=447805"""
"""St. Joseph'S Zeppole""","""water,butter,sugar,flour,eggs""","""www.cookbooks.com/Recipe-Details.aspx?id=482599"""
"""Corn ""Oysters""""","""cream-style corn,eggs,onion,crackers,salt""","""www.cookbooks.com/Recipe-Details.aspx?id=1059690"""
"""Bright Party Beans""","""ground beef,onion,beans,kidney beans,yellow lima beans,green baby,brown sugar,syrup,chili powder,ketchup,mustard,salt""","""www.cookbooks.com/Recipe-Details.aspx?id=946322"""
"""Apricot Dessert""","""cake,apricot nectar,sugar,cornstarch,walnuts""","""www.cookbooks.com/Recipe-Details.aspx?id=265011"""
"""Honey Almond Squares""","""cake mix,cream cheese,alfalfa honey,almonds""","""www.cookbooks.com/Recipe-Details.aspx?id=29496"""
"""Chicken Casserole""","""rice,onion soup,cream of chicken,mushrooms,bite""","""www.cookbooks.com/Recipe-Details.aspx?id=661800"""
"""Artichoke Dip""","""mayonnaise,Romano cheese,artichokes""","""www.cookbooks.com/Recipe-Details.aspx?id=19021"""
"""French Onion Soup""","""butter,onions,beef stock,chicken stock,Worcestershire sauce,bay leaf,garlic salt,black pepper,salt""","""www.cookbooks.com/Recipe-Details.aspx?id=243544"""
"""Apple Pie""","""apples,sugar,flour,cinnamon,salt""","""www.cookbooks.com/Recipe-Details.aspx?id=505783"""
"""Sloppy Joes""","""hamburger,ketchup,Worcestershire sauce,mustard,sugar,salt""","""www.cookbooks.com/Recipe-Details.aspx?id=273813"""
"""7-Up Cake""","""flour,sugar,eggs,butter,lemon flavor,yellow food coloring""","""www.cookbooks.com/Recipe-Details.aspx?id=769751"""
"""Corned Beef Dip""","""corned beef,cream cheese,mayonnaise,pickles,onion,horseradish,Worcestershire sauce,pickle juice""","""www.cookbooks.com/Recipe-Details.aspx?id=975679"""
"""Chocolate Pie""","""sugar,milk,cocoa,flour,egg yolks,clump,vanilla,boiling water""","""www.cookbooks.com/Recipe-Details.aspx?id=490390"""
"""Tater Tot Casserole""","""Tater,ground beef,onion,bell pepper,cream of mushroom soup,cream of celery soup,cream of chicken soup,grated cheese""","""www.cookbooks.com/Recipe-Details.aspx?id=598044"""
"""Blackberry Pie""","""sugar,cornstarch,water,flavored gelatin,fresh blackberries,pastry shell""","""www.cookbooks.com/Recipe-Details.aspx?id=215390"""
"""Caramel Pie""","""coconut,margarine,slivered almonds,milk,graham cracker crusts,cream cheese,caramel topping""","""www.cookbooks.com/Recipe-Details.aspx?id=317779"""
"""Dill Dip""","""Miracle,sour cream,onion,parsley flakes,dill weed""","""www.cookbooks.com/Recipe-Details.aspx?id=306450"""
"""Broccoli Cornbread""","""onion,oil,frozen broccoli,margarine,mix,eggs,cottage cheese""","""www.cookbooks.com/Recipe-Details.aspx?id=390825"""
"""Vegetable Soup""","""onion,potato,green sweet peppers,celery,carrots,macaroni,ground turkey,beans,bay leaf,Italian seasoning,sweet peas,tomato juice""","""www.cookbooks.com/Recipe-Details.aspx?id=386645"""
"""Chocolate Peanut Butter Cake""","""cocoa,oleo,flour,sugar,baking soda,salt,eggs,vanilla,water,buttermilk""","""www.cookbooks.com/Recipe-Details.aspx?id=188508"""
"""Magic Cookie Bars""","""butter,graham cracker crumbs,milk,semi-sweet chocolate chips,flaked coconut,nuts""","""www.cookbooks.com/Recipe-Details.aspx?id=343171"""
"""Pecan Pralines""","""sugar,brown sugar,milk,butter,pecans,coconut""","""www.cookbooks.com/Recipe-Details.aspx?id=871990"""
"""Chocolate ""Stuff""""","""chocolate pudding,vanilla wafers,pecans""","""www.cookbooks.com/Recipe-Details.aspx?id=200217"""
"""Easy Chocolate Frosting""","""white sugar,butter,milk,chocolate chips,vanilla""","""www.cookbooks.com/Recipe-Details.aspx?id=853369"""
"""No Bake Pumpkin Pie""","""unflavored gelatine,milk,eggs,pumpkin,cinnamon,ginger,salt,pie shells""","""www.cookbooks.com/Recipe-Details.aspx?id=987410"""
"""Baked French Toast""","""eggs,sugar,ground nutmeg,orange juice,cream,vanilla""","""www.cookbooks.com/Recipe-Details.aspx?id=93889"""
"""Puppy Chow""","""cereal,chocolate chips,powdered sugar,peanut butter,margarine,vanilla""","""www.cookbooks.com/Recipe-Details.aspx?id=1061287"""
"""Tamale Casserole""","""yellow hominy,olives,green chilies,tamales,Cheddar cheese,onions""","""www.cookbooks.com/Recipe-Details.aspx?id=448989"""
"""Taco Dip""","""beans,guacamole dip,sour cream,mayonnaise,taco seasoning,Mozzarella cheese,cheddar cheese,green onions""","""www.cookbooks.com/Recipe-Details.aspx?id=65338"""
"""Bonnie'S Bread""","""water,cake yeast,salt,eggs,sugar""","""www.cookbooks.com/Recipe-Details.aspx?id=501171"""
"""Chicken Pot Pie""","""chicken,cream of mushroom soup,chicken broth,peas,onion,oleo,milk,baking powder,flour""","""www.cookbooks.com/Recipe-Details.aspx?id=682160"""
"""Smoked Turkey Risotto""","""chicken,olive,green onions,clove garlic,arborio,oregano,salt,black pepper,spinach,parmesan cheese""","""www.cookbooks.com/Recipe-Details.aspx?id=36954"""
"""Eggplant Spaghetti Sauce""","""oil,eggplant,onions,cauliflower,green pepper,fresh parsley,mushrooms,garlic,Italian tomatoes,bay leaf,basil,oregano,thyme,marjoram,rosemary,salt,red""","""www.cookbooks.com/Recipe-Details.aspx?id=321541"""
"""Watergate Cake""","""white cake mix,+,pistachio instant pudding,ginger ale,eggs,pecans,cool whip,milk,pistachio instant pudding""","""www.cookbooks.com/Recipe-Details.aspx?id=15086"""
"""Plum Muffins""","""flour,walnuts,eggs,sugar,allspice,oil""","""www.cookbooks.com/Recipe-Details.aspx?id=237766"""
"""Cranberry Punch""","""cranberry juice,ginger ale,O,boiling water,frozen lemonade,cold water""","""www.cookbooks.com/Recipe-Details.aspx?id=321508"""
"""Sweet Potato Pie""","""sweet potatoes,butter,sugar,eggs,nutmeg""","""www.cookbooks.com/Recipe-Details.aspx?id=31693"""
"""Butternut Pound Cake""","""sugar,Crisco oil,eggs,flour,sweet milk,vanilla flavor,butternut flavor""","""www.cookbooks.com/Recipe-Details.aspx?id=615990"""
"""Morning Glory Muffins""","""flour,sugar,baking soda,ground cinnamon,salt,carrots,raisins,coconut,pecans,pineapple,vegetable oil,eggs,vanilla""","""www.cookbooks.com/Recipe-Details.aspx?id=903945"""
"""Chicken Breasts With Wild Rice""","""wild rice,condensed cream,onion soup,mushrooms,water,chicken breasts,butter,cornflake crumbs""","""www.cookbooks.com/Recipe-Details.aspx?id=187145"""
"""Creole Green Beans""","""green pepper,onion,bacon drippings,flour,salt,sugar,paprika,tomatoes,green peas""","""www.cookbooks.com/Recipe-Details.aspx?id=1004825"""
"""Banana Bread""","""eggs,bananas,butter,sugar,flour,soda,cream of tartar,nuts""","""www.cookbooks.com/Recipe-Details.aspx?id=472490"""
"""Corned Beef Hash Swirls""","""Bisquick,beef hash,mustard,salt""","""www.cookbooks.com/Recipe-Details.aspx?id=542734"""
"""Patio Potatoes""","""hash browns,margarine,salt,pepper,onion,cream of mushroom soup,sour cream,grated sharp""","""www.cookbooks.com/Recipe-Details.aspx?id=570410"""
"""Sky High Biscuits""","""flour,baking powder,sugar,salt,cream of tartar,butter,egg,milk""","""www.cookbooks.com/Recipe-Details.aspx?id=805008"""
"""Lasagne""","""lean hamburger,Ricotta cheese,lasagne noodles,Mozzarella cheese""","""www.cookbooks.com/Recipe-Details.aspx?id=1085549"""
